Release Date	Movie	Production Budget	Domestic Gross	Worldwide Gross
12/18/09	Avatar	$425,000,000 	$760,507,625 	$2,783,918,982 
5/24/07	Pirates of the Caribbean: At World's End	$300,000,000 	$309,420,425 	$960,996,492 
7/20/12	The Dark Knight Rises	$275,000,000 	$448,139,099 	$1,079,343,943 
7/2/13	The Lone Ranger	$275,000,000 	$89,289,910 	$259,989,910 
3/9/12	John Carter	$275,000,000 	$73,058,679 	$282,778,100 
11/24/10	Tangled	$260,000,000 	$200,821,936 	$586,581,936 
5/4/07	Spider-Man 3	$258,000,000 	$336,530,303 	$890,875,303 
12/14/12	The Hobbit: An Unexpected Journey	$250,000,000 	$303,003,568 	$1,014,703,568 
7/15/09	Harry Potter and the Half-Blood Prince	$250,000,000 	$301,959,197 	$934,416,487 
12/13/13	The Hobbit: The Desolation of Smaug	$250,000,000 	$252,343,924 	$837,343,924 
5/20/11	Pirates of the Caribbean: On Stranger Tides	$250,000,000 	$241,063,875 	$1,043,663,875 
12/17/14	The Hobbit: There and Back Again	$250,000,000 	$0 	$0 
6/28/06	Superman Returns	$232,000,000 	$200,120,000 	$390,874,000 
11/14/08	Quantum of Solace	$230,000,000 	$169,368,427 	$591,692,078 
5/4/12	Marvel's The Avengers	$225,000,000 	$623,279,547 	$1,514,279,547 
7/7/06	Pirates of the Caribbean: Dead Man's Chest	$225,000,000 	$423,315,812 	$1,060,615,812 
6/14/13	Man of Steel	$225,000,000 	$291,045,518 	$687,999,518 
5/16/08	The Chronicles of Narnia: Prince Caspian	$225,000,000 	$141,621,490 	$419,490,286 
12/25/13	47 Ronin	$225,000,000 	$38,048,670 	$118,105,173 
7/3/12	The Amazing Spider-Man	$220,000,000 	$262,030,663 	$757,890,267 
5/25/12	Men in Black 3	$215,000,000 	$179,020,854 	$624,821,154 
6/24/09	Transformers: Revenge of the Fallen	$210,000,000 	$402,111,870 	$836,519,699 
5/26/06	X-Men: The Last Stand	$210,000,000 	$234,362,462 	$459,359,555 
5/14/10	Robin Hood	$210,000,000 	$105,487,148 	$322,459,006 
5/18/12	Battleship	$209,000,000 	$65,235,400 	$304,142,720 
12/14/05	King Kong	$207,000,000 	$218,080,025 	$550,517,357 
12/1/07	His Dark Materials: The Golden Compass	$205,000,000 	$70,107,728 	$372,234,864 
12/19/97	Titanic	$200,000,000 	$658,672,302 	$2,185,672,302 
6/18/10	Toy Story 3	$200,000,000 	$415,004,880 	$1,063,759,456 
5/3/13	Iron Man 3	$200,000,000 	$408,992,272 	$1,211,992,272 
6/30/04	Spider-Man 2	$200,000,000 	$373,524,485 	$783,705,001 
3/5/10	Alice in Wonderland	$200,000,000 	$334,191,110 	$1,024,391,110 
11/8/12	Skyfall	$200,000,000 	$304,360,277 	$1,108,694,081 
3/8/13	Oz the Great and Powerful	$200,000,000 	$234,770,996 	$489,570,996 
6/24/11	Cars 2	$200,000,000 	$191,450,875 	$560,155,383 
12/17/10	Tron: Legacy	$200,000,000 	$172,062,763 	$397,562,763 
11/13/09	2012	$200,000,000 	$166,112,167 	$788,408,539 
5/21/09	Terminator Salvation: The Future Begins	$200,000,000 	$125,322,469 	$371,628,539 
6/17/11	Green Lantern	$200,000,000 	$116,601,172 	$231,201,172 
5/28/10	Prince of Persia: Sands of Time	$200,000,000 	$90,759,676 	$335,059,676 
6/29/11	Transformers: Dark of the Moon	$195,000,000 	$352,390,543 	$1,123,794,076 
3/1/13	Jack the Giant Slayer	$195,000,000 	$65,187,603 	$197,387,603 
5/15/13	Star Trek Into Darkness	$190,000,000 	$228,778,661 	$466,978,661 
6/21/13	World War Z	$190,000,000 	$202,359,711 	$539,559,711 
5/10/13	The Great Gatsby	$190,000,000 	$144,840,419 	$351,040,419 
11/6/09	Disney's A Christmas Carol	$190,000,000 	$137,855,863 	$323,743,744 
7/12/13	Pacific Rim	$190,000,000 	$101,802,906 	$411,002,906 
5/2/08	Iron Man	$186,000,000 	$318,604,126 	$582,443,126 
7/18/08	The Dark Knight	$185,000,000 	$533,345,358 	$1,002,891,358 
5/22/08	Indiana Jones and the Kingdom of the Crystal Skull	$185,000,000 	$317,023,851 	$786,558,145 
6/22/12	Brave	$185,000,000 	$237,282,182 	$554,606,532 
12/9/05	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	$180,000,000 	$291,710,957 	$748,806,957 
6/27/08	WALL-E	$180,000,000 	$223,808,164 	$532,590,994 
8/10/07	Rush Hour 3	$180,000,000 	$140,125,968 	$253,025,968 
11/23/11	Hugo	$180,000,000 	$73,864,507 	$185,033,215 
5/29/09	Up	$175,000,000 	$293,004,164 	$731,542,621 
3/27/09	Monsters vs. Aliens	$175,000,000 	$198,351,526 	$381,687,380 
8/7/09	G.I. Joe: The Rise of Cobra	$175,000,000 	$150,201,498 	$302,469,017 
6/30/99	Wild Wild West	$175,000,000 	$113,805,681 	$221,229,335 
8/1/08	The Mummy: Tomb of the Dragon Emperor	$175,000,000 	$102,491,776 	$405,760,225 
6/22/07	Evan Almighty	$175,000,000 	$100,289,690 	$173,219,280 
7/28/95	Waterworld	$175,000,000 	$88,246,220 	$264,246,220 
12/31/12	Singularity	$175,000,000 	$0 	$0 
5/7/10	Iron Man 2	$170,000,000 	$312,433,331 	$623,561,331 
11/8/13	Thor: The Dark World	$170,000,000 	$204,286,536 	$631,286,536 
11/10/04	The Polar Express	$170,000,000 	$194,949,659 	$319,049,659 
6/1/12	Snow White and the Huntsman	$170,000,000 	$155,136,755 	$400,911,200 
7/1/03	Terminator 3: Rise of the Machines	$170,000,000 	$150,358,296 	$433,058,296 
5/7/04	Van Helsing	$170,000,000 	$120,150,546 	$300,150,546 
5/21/10	Shrek Forever After	$165,000,000 	$238,736,787 	$756,244,673 
3/26/10	How to Train Your Dragon	$165,000,000 	$217,581,231 	$494,870,991 
11/2/12	Wreck-It Ralph	$165,000,000 	$189,412,677 	$473,412,677 
7/29/11	Cowboys and Aliens	$163,000,000 	$100,240,551 	$175,910,315 
5/17/07	Shrek the Third	$160,000,000 	$322,719,944 	$807,330,936 
7/16/10	Inception	$160,000,000 	$292,576,195 	$832,584,416 
5/24/13	Fast and Furious 6	$160,000,000 	$238,679,850 	$788,128,122 
6/3/11	X-Men: First Class	$160,000,000 	$146,408,305 	$355,408,305 
12/25/08	The Curious Case of Benjamin Button	$160,000,000 	$127,509,326 	$329,809,326 
7/14/10	The Sorcerer's Apprentice	$160,000,000 	$63,150,991 	$215,150,991 
5/12/06	Poseidon	$160,000,000 	$60,674,817 	$181,674,817 
12/10/10	The Chronicles of Narnia: The Voyage of the Dawn Treader	$155,000,000 	$104,386,950 	$418,186,950 
11/24/04	Alexander	$155,000,000 	$34,297,191 	$167,297,191 
5/25/01	Pearl Harbor	$151,500,000 	$198,539,855 	$449,239,855 
7/2/07	Transformers	$151,000,000 	$319,246,193 	$708,272,592 
11/22/13	Frozen	$150,000,000 	$347,815,205 	$774,315,205 
7/11/07	Harry Potter and the Order of the Phoenix	$150,000,000 	$292,004,738 	$942,943,935 
11/18/05	Harry Potter and the Goblet of Fire	$150,000,000 	$290,013,036 	$896,911,078 
12/14/07	I am Legend	$150,000,000 	$256,393,010 	$585,410,052 
7/1/08	Hancock	$150,000,000 	$227,946,274 	$624,346,274 
7/15/05	Charlie and the Chocolate Factory	$150,000,000 	$206,459,076 	$474,459,076 
6/29/07	Ratatouille	$150,000,000 	$206,445,654 	$626,549,695 
6/15/05	Batman Begins	$150,000,000 	$205,343,774 	$373,298,774 
5/6/11	Thor	$150,000,000 	$181,030,624 	$449,326,618 
11/7/08	Madagascar: Escape 2 Africa	$150,000,000 	$180,010,950 	$599,516,844 
5/1/09	X-Men Origins: Wolverine	$150,000,000 	$179,883,157 	$374,825,760 
5/22/09	Night at the Museum: Battle of the Smithsonian	$150,000,000 	$177,243,721 	$413,054,631 
5/26/11	Kung Fu Panda 2	$150,000,000 	$165,249,063 	$664,837,547 
5/5/06	Mission: Impossible III	$150,000,000 	$133,501,348 	$397,501,348 
5/15/09	Angels & Demons	$150,000,000 	$133,375,846 	$490,875,846 
5/14/04	Troy	$150,000,000 	$133,298,577 	$497,398,577 
7/1/10	The Last Airbender	$150,000,000 	$131,772,187 	$319,713,881 
11/2/07	Bee Movie	$150,000,000 	$126,631,277 	$287,594,577 
7/24/09	G-Force	$150,000,000 	$119,436,770 	$287,389,685 
11/21/08	Bolt	$150,000,000 	$114,053,759 	$313,953,759 
3/30/12	Wrath of the Titans	$150,000,000 	$83,670,083 	$301,970,083 
11/16/07	Beowulf	$150,000,000 	$82,195,215 	$194,995,215 
6/28/13	White House Down	$150,000,000 	$73,103,784 	$205,440,387 
2/12/10	The Wolfman	$150,000,000 	$62,189,884 	$142,634,358 
3/11/11	Mars Needs Moms	$150,000,000 	$21,392,758 	$39,549,758 
11/3/06	Flushed Away	$149,000,000 	$64,665,672 	$177,665,672 
6/8/12	Madagascar 3: Europe's Most Wanted	$145,000,000 	$216,391,482 	$746,921,271 
12/16/11	Mission: Impossible - Ghost Protocol	$145,000,000 	$209,397,903 	$694,713,230 
6/16/99	Tarzan	$145,000,000 	$171,091,819 	$448,191,819 
11/21/12	Rise of the Guardians	$145,000,000 	$103,412,758 	$306,900,902 
4/8/05	Sahara	$145,000,000 	$68,671,925 	$121,671,925 
11/22/02	Die Another Day	$142,000,000 	$160,942,139 	$431,942,139 
5/8/09	Star Trek	$140,000,000 	$257,730,019 	$385,680,446 
7/1/98	Armageddon	$140,000,000 	$201,578,182 	$554,600,000 
7/3/02	Men in Black 2	$140,000,000 	$190,418,803 	$441,767,803 
7/22/11	Captain America: The First Avenger	$140,000,000 	$176,654,505 	$370,569,776 
7/10/98	Lethal Weapon 4	$140,000,000 	$130,444,603 	$285,400,000 
3/27/13	G.I. Joe: Retaliation	$140,000,000 	$122,523,060 	$371,923,060 
12/5/03	The Last Samurai	$140,000,000 	$111,110,575 	$456,810,575 
12/21/05	Fun With Dick And Jane	$140,000,000 	$110,550,000 	$201,798,116 
5/3/02	Spider-Man	$139,000,000 	$403,706,375 	$821,565,375 
3/6/09	Watchmen	$138,000,000 	$107,509,799 	$184,068,357 
7/29/05	Stealth	$138,000,000 	$32,116,746 	$76,416,746 
6/13/08	The Incredible Hulk	$137,500,000 	$134,806,913 	$263,417,913 
6/20/03	Hulk	$137,000,000 	$132,177,234 	$245,229,234 
7/11/01	Final Fantasy: The Spirits Within	$137,000,000 	$32,131,830 	$85,131,830 
11/16/12	The Twilight Saga: Breaking Dawn, Part 2	$136,200,000 	$292,324,737 	$832,660,037 
3/22/13	The Croods	$135,000,000 	$187,168,425 	$573,068,425 
11/19/99	The World is Not Enough	$135,000,000 	$126,930,660 	$361,730,660 
3/4/11	Rango	$135,000,000 	$123,257,581 	$245,504,574 
11/14/03	Master and Commander: The Far Side of the World	$135,000,000 	$93,926,386 	$212,912,137 
7/17/13	Turbo	$135,000,000 	$83,028,130 	$283,828,130 
11/18/11	Happy Feet Two	$135,000,000 	$64,006,466 	$157,956,466 
7/28/06	Miami Vice	$135,000,000 	$63,478,838 	$163,818,556 
6/29/05	War of the Worlds	$132,000,000 	$234,280,354 	$606,836,535 
11/22/13	The Hunger Games: Catching Fire	$130,000,000 	$420,031,968 	$853,031,968 
6/4/04	Harry Potter and the Prisoner of Azkaban	$130,000,000 	$249,538,952 	$796,688,549 
8/3/07	The Bourne Ultimatum	$130,000,000 	$227,471,070 	$442,161,562 
6/6/08	Kung Fu Panda	$130,000,000 	$215,434,591 	$631,910,531 
10/28/11	Puss in Boots	$130,000,000 	$149,260,504 	$554,987,477 
11/5/10	Megamind	$130,000,000 	$148,415,853 	$321,887,208 
7/18/03	Bad Boys II	$130,000,000 	$138,540,870 	$272,940,870 
7/23/10	Salt	$130,000,000 	$118,311,368 	$295,713,467 
12/21/11	The Adventures of Tintin	$130,000,000 	$77,591,831 	$373,993,951 
11/26/08	Australia	$130,000,000 	$49,554,002 	$215,080,810 
7/19/13	R.I.P.D.	$130,000,000 	$33,618,855 	$79,019,510 
11/18/11	The Twilight Saga: Breaking Dawn, Part 1	$127,500,000 	$281,287,133 	$709,938,657 
5/19/00	Dinosaur	$127,500,000 	$137,748,063 	$356,148,063 
5/15/03	The Matrix Reloaded	$127,000,000 	$281,553,689 	$738,576,929 
7/15/11	Harry Potter and the Deathly Hallows: Part II	$125,000,000 	$381,011,219 	$1,328,111,219 
11/16/01	Harry Potter and the Sorcerer's Stone	$125,000,000 	$317,575,550 	$974,755,371 
7/9/03	Pirates of the Caribbean: The Curse of the Black Pearl	$125,000,000 	$305,411,224 	$634,954,103 
11/19/10	Harry Potter and the Deathly Hallows: Part I	$125,000,000 	$295,983,305 	$956,399,711 
5/19/06	The Da Vinci Code	$125,000,000 	$217,536,138 	$767,820,459 
5/2/03	X2	$125,000,000 	$214,949,694 	$407,711,549 
4/29/11	Fast Five	$125,000,000 	$209,837,675 	$629,841,284 
5/28/04	The Day After Tomorrow	$125,000,000 	$186,740,799 	$556,319,450 
4/1/10	Clash of the Titans	$125,000,000 	$163,214,888 	$493,214,888 
5/19/98	Godzilla	$125,000,000 	$136,314,294 	$376,000,000 
6/20/97	Batman & Robin	$125,000,000 	$107,325,195 	$238,317,814 
8/27/99	The 13th Warrior	$125,000,000 	$32,698,899 	$61,698,899 
11/17/00	How the Grinch Stole Christmas	$123,000,000 	$260,044,825 	$345,141,403 
5/24/00	Mission: Impossible 2	$120,000,000 	$215,409,889 	$546,209,889 
6/30/00	The Perfect Storm	$120,000,000 	$182,618,434 	$328,711,434 
6/15/07	Fantastic Four: Rise of the Silver Surfer	$120,000,000 	$131,921,738 	$288,215,319 
11/21/12	Life of Pi	$120,000,000 	$124,987,022 	$607,987,022 
2/16/07	Ghost Rider	$120,000,000 	$115,802,596 	$237,702,596 
6/27/03	Charlie's Angels: Full Throttle	$120,000,000 	$100,814,328 	$227,200,000 
8/9/13	Elysium	$120,000,000 	$93,050,117 	$286,192,091 
4/19/13	Oblivion	$120,000,000 	$89,107,235 	$287,537,983 
7/19/02	Stuart Little 2	$120,000,000 	$64,956,806 	$166,000,000 
6/11/04	The Chronicles of Riddick	$120,000,000 	$57,712,751 	$107,212,751 
5/9/08	Speed Racer	$120,000,000 	$43,945,766 	$93,394,462 
7/22/05	The Island	$120,000,000 	$35,818,913 	$163,018,913 
12/17/10	How Do You Know?	$120,000,000 	$30,212,620 	$48,668,307 
6/23/10	Knight and Day	$117,000,000 	$76,423,035 	$262,142,047 
5/19/99	Star Wars Ep. I: The Phantom Menace	$115,000,000 	$474,544,677 	$1,007,044,677 
5/19/05	Star Wars Ep. III: Revenge of the Sith	$115,000,000 	$380,270,577 	$848,998,877 
5/16/02	Star Wars Ep. II: Attack of the Clones	$115,000,000 	$310,676,740 	$656,695,615 
11/2/01	Monsters, Inc.	$115,000,000 	$289,423,425 	$559,757,719 
7/26/13	The Wolverine	$115,000,000 	$132,556,852 	$416,456,852 
2/7/97	Dante's Peak	$115,000,000 	$67,163,857 	$178,200,000 
6/14/02	Windtalkers	$115,000,000 	$40,914,068 	$77,628,265 
7/4/08	Astérix aux Jeux Olympiques	$113,500,000 	$999,811 	$132,999,811 
12/25/10	Gulliver's Travels	$112,000,000 	$42,779,261 	$239,179,261 
10/4/13	Gravity	$110,000,000 	$261,203,469 	$680,003,469 
12/22/06	Night at the Museum	$110,000,000 	$250,863,268 	$574,480,841 
6/10/05	Mr. And Mrs. Smith	$110,000,000 	$186,336,279 	$478,336,279 
7/29/11	The Smurfs	$110,000,000 	$142,614,158 	$563,066,551 
11/5/03	The Matrix Revolutions	$110,000,000 	$139,259,759 	$424,259,759 
6/27/07	Live Free or Die Hard	$110,000,000 	$134,529,403 	$383,531,464 
12/10/04	Ocean's Twelve	$110,000,000 	$125,531,634 	$362,989,076 
12/19/97	Tomorrow Never Dies	$110,000,000 	$125,304,276 	$339,504,276 
6/28/00	The Patriot	$110,000,000 	$113,330,342 	$215,300,000 
12/17/04	The Aviator	$110,000,000 	$102,608,827 	$214,608,827 
1/14/11	The Green Hornet	$110,000,000 	$98,780,042 	$227,983,150 
10/7/11	Real Steel	$110,000,000 	$85,463,309 	$293,237,309 
6/11/10	The A-Team	$110,000,000 	$77,222,099 	$177,241,171 
7/31/13	The Smurfs 2	$110,000,000 	$71,017,784 	$347,740,838 
6/12/09	The Taking of Pelham 123	$110,000,000 	$65,452,312 	$152,364,370 
11/1/13	Ender's Game	$110,000,000 	$61,737,191 	$89,737,191 
4/2/04	Home on the Range	$110,000,000 	$50,026,353 	$76,482,461 
6/13/97	Speed II: Cruise Control	$110,000,000 	$48,097,081 	$150,468,000 
5/6/05	Kingdom of Heaven	$110,000,000 	$47,398,413 	$218,853,353 
6/16/04	Around the World in 80 Days	$110,000,000 	$24,004,159 	$72,004,159 
12/19/01	The Lord of the Rings: The Fellowship of the Ring	$109,000,000 	$315,544,750 	$887,217,688 
11/21/03	The Cat in the Hat	$109,000,000 	$101,018,283 	$133,818,283 
12/25/01	Ali	$109,000,000 	$58,183,966 	$87,683,966 
7/16/04	I, Robot	$105,000,000 	$144,801,023 	$348,601,023 
12/17/99	Stuart Little	$105,000,000 	$140,015,224 	$298,800,000 
11/25/09	The Princess and the Frog	$105,000,000 	$104,400,899 	$263,494,174 
3/7/08	10,000 B.C.	$105,000,000 	$94,784,201 	$269,065,678 
4/27/01	Town & Country	$105,000,000 	$6,712,451 	$10,364,769 
6/9/00	Gone in 60 Seconds	$103,300,000 	$101,643,008 	$232,643,008 
5/5/00	Gladiator	$103,000,000 	$187,683,805 	$457,683,805 
5/23/13	The Hangover 3	$103,000,000 	$112,200,072 	$362,000,072 
7/1/09	Public Enemies	$102,500,000 	$97,104,620 	$210,379,983 
11/17/06	Casino Royale	$102,000,000 	$167,365,000 	$596,365,000 
6/21/02	Minority Report	$102,000,000 	$132,024,714 	$358,824,714 
10/26/12	Cloud Atlas	$102,000,000 	$27,108,272 	$126,018,564 
11/15/02	Harry Potter and the Chamber of Secrets	$100,000,000 	$261,987,880 	$878,979,634 
7/2/91	Terminator 2: Judgment Day	$100,000,000 	$204,859,496 	$516,816,151 
6/16/95	Batman Forever	$100,000,000 	$184,031,112 	$336,529,144 
7/27/01	Planet of the Apes	$100,000,000 	$180,011,740 	$362,211,740 
11/19/04	National Treasure	$100,000,000 	$173,005,002 	$347,405,002 
12/25/12	Django Unchained	$100,000,000 	$162,805,434 	$425,373,688 
12/22/10	Little Fockers	$100,000,000 	$148,438,600 	$310,650,574 
7/15/94	True Lies	$100,000,000 	$146,282,411 	$365,300,000 
11/2/07	American Gangster	$100,000,000 	$130,164,645 	$267,985,456 
9/18/09	Cloudy with a Chance of Meatballs	$100,000,000 	$124,870,275 	$236,827,677 
12/17/04	Lemony Snicket's A Series of Unfortunate Events	$100,000,000 	$118,627,117 	$201,627,117 
5/24/13	Epic	$100,000,000 	$107,518,682 	$268,418,682 
6/21/96	Eraser	$100,000,000 	$101,295,562 	$234,400,000 
6/21/96	The Hunchback of Notre Dame	$100,000,000 	$100,138,851 	$325,500,000 
12/15/00	The Emperor's New Groove	$100,000,000 	$89,296,573 	$169,296,573 
8/17/12	The Expendables 2	$100,000,000 	$85,028,192 	$311,979,256 
10/16/09	Where the Wild Things Are	$100,000,000 	$77,233,467 	$99,123,656 
12/15/06	Eragon	$100,000,000 	$75,030,163 	$249,488,115 
11/24/99	End of Days	$100,000,000 	$66,889,043 	$212,026,975 
6/11/04	The Stepford Wives	$100,000,000 	$59,475,623 	$96,221,971 
6/8/07	Surf's Up	$100,000,000 	$58,867,694 	$145,395,745 
12/8/06	Blood Diamond	$100,000,000 	$57,377,916 	$171,377,916 
9/24/10	Legend of the Guardians: The Owls of Ga'Hoole 3D	$100,000,000 	$55,675,313 	$139,906,561 
11/7/97	Starship Troopers	$100,000,000 	$54,768,952 	$121,100,000 
6/5/09	Land of the Lost	$100,000,000 	$49,438,370 	$69,548,641 
12/25/03	Peter Pan	$100,000,000 	$48,417,850 	$95,255,485 
7/23/04	Catwoman	$100,000,000 	$40,202,379 	$82,145,379 
11/27/02	Treasure Planet	$100,000,000 	$38,120,554 	$91,800,000 
3/12/10	Green Zone	$100,000,000 	$35,497,337 	$97,523,020 
2/18/05	Son of the Mask	$100,000,000 	$17,018,422 	$59,918,422 
8/16/02	The Adventures of Pluto Nash	$100,000,000 	$4,411,102 	$7,094,995 
12/21/11	Jin líng shí san chai	$100,000,000 	$311,434 	$93,721,434 
5/4/01	The Mummy Returns	$98,000,000 	$202,007,640 	$435,040,395 
12/20/02	Gangs of New York	$97,000,000 	$77,730,500 	$190,400,000 
7/13/12	Ice Age: Continental Drift	$95,000,000 	$161,321,843 	$879,765,137 
12/28/01	Black Hawk Down	$95,000,000 	$108,638,745 	$159,691,085 
5/27/10	Sex and the City 2	$95,000,000 	$95,347,692 	$294,680,778 
2/12/10	Percy Jackson & the Olympians: The Lightning Thief	$95,000,000 	$88,768,303 	$226,467,130 
11/12/10	Unstoppable	$95,000,000 	$81,562,942 	$169,511,609 
5/9/97	The Fifth Element	$95,000,000 	$63,570,862 	$263,900,000 
3/31/00	The Road to El Dorado	$95,000,000 	$50,802,661 	$65,700,000 
12/11/09	The Lovely Bones	$95,000,000 	$44,114,232 	$94,894,448 
5/30/03	Finding Nemo	$94,000,000 	$380,529,370 	$906,465,556 
12/17/03	The Lord of the Rings: The Return of the King	$94,000,000 	$377,845,905 	$1,141,408,667 
12/18/02	The Lord of the Rings: The Two Towers	$94,000,000 	$342,548,984 	$927,048,984 
6/15/01	Lara Croft: Tomb Raider	$94,000,000 	$131,144,183 	$274,644,183 
7/18/01	Jurassic Park III	$93,000,000 	$181,166,115 	$365,900,000 
8/5/11	Rise of the Planet of the Apes	$93,000,000 	$176,760,185 	$482,860,185 
2/14/08	The Spiderwick Chronicles	$92,500,000 	$71,195,053 	$162,839,667 
11/5/04	The Incredibles	$92,000,000 	$261,441,092 	$632,107,545 
2/14/13	A Good Day to Die Hard	$92,000,000 	$67,349,198 	$304,249,198 
4/9/04	The Alamo	$92,000,000 	$22,406,362 	$23,911,362 
12/22/95	Cutthroat Island	$92,000,000 	$10,017,322 	$18,517,322 
7/1/97	Men in Black	$90,000,000 	$250,690,539 	$587,790,539 
11/19/99	Toy Story 2	$90,000,000 	$245,852,179 	$511,358,276 
8/3/01	Rush Hour 2	$90,000,000 	$226,164,286 	$347,425,832 
12/25/09	Sherlock Holmes	$90,000,000 	$209,028,679 	$498,438,212 
7/1/09	Ice Age: Dawn of the Dinosaurs	$90,000,000 	$196,573,705 	$886,968,695 
7/21/00	What Lies Beneath	$90,000,000 	$155,464,351 	$288,693,989 
4/15/11	Rio	$90,000,000 	$143,619,809 	$487,519,809 
10/6/06	The Departed	$90,000,000 	$133,311,000 	$290,539,042 
11/3/00	Charlie's Angels	$90,000,000 	$125,305,545 	$259,736,090 
6/19/98	Mulan	$90,000,000 	$120,620,254 	$303,500,000 
8/13/08	Tropic Thunder	$90,000,000 	$110,461,307 	$188,163,455 
12/20/11	The Girl with the Dragon Tattoo	$90,000,000 	$102,515,793 	$233,170,238 
7/11/97	Contact	$90,000,000 	$100,920,329 	$165,900,000 
5/19/95	Die Hard: With a Vengeance	$90,000,000 	$100,012,499 	$364,480,746 
6/8/01	Atlantis: The Lost Empire	$90,000,000 	$84,052,762 	$186,049,020 
6/29/01	Artificial Intelligence: AI	$90,000,000 	$78,616,689 	$235,900,000 
8/4/00	Hollow Man	$90,000,000 	$73,209,340 	$191,200,000 
4/22/05	The Interpreter	$90,000,000 	$72,708,161 	$163,954,076 
8/7/13	Percy Jackson: Sea of Monsters	$90,000,000 	$68,554,168 	$200,854,168 
7/25/03	Lara Croft: Tomb Raider: The Cradle of Life	$90,000,000 	$65,653,758 	$156,453,758 
11/21/01	Spy Game	$90,000,000 	$62,362,560 	$143,049,560 
4/4/97	The Saint	$90,000,000 	$61,363,304 	$169,400,000 
3/10/00	Mission to Mars	$90,000,000 	$60,874,615 	$106,000,000 
12/17/99	Bicentennial Man	$90,000,000 	$58,220,776 	$87,420,776 
7/7/04	King Arthur	$90,000,000 	$51,877,963 	$203,877,963 
4/25/97	Volcano	$90,000,000 	$47,546,796 	$120,100,000 
3/26/97	The Devil's Own	$90,000,000 	$42,885,593 	$140,900,000 
7/19/02	K-19: The Widowmaker	$90,000,000 	$35,168,966 	$65,716,126 
8/19/11	Conan the Barbarian 3D	$90,000,000 	$21,295,021 	$63,356,133 
10/21/11	The Three Musketeers 3D	$90,000,000 	$20,377,913 	$139,877,913 
11/24/10	The Nutcracker in 3D	$90,000,000 	$195,459 	$20,466,016 
5/10/96	Twister	$88,000,000 	$241,888,385 	$495,900,000 
6/3/05	Cinderella Man	$88,000,000 	$61,649,911 	$108,539,911 
7/8/05	Fantastic Four	$87,500,000 	$154,696,080 	$330,717,080 
2/9/01	Hannibal	$87,000,000 	$165,092,266 	$350,100,280 
7/25/03	Seabiscuit	$86,000,000 	$120,277,854 	$148,336,445 
12/22/00	Cast Away	$85,000,000 	$233,632,142 	$427,230,516 
11/17/06	Happy Feet	$85,000,000 	$198,000,317 	$385,000,317 
12/7/01	Ocean's Eleven	$85,000,000 	$183,417,150 	$450,728,529 
7/23/04	The Bourne Supremacy	$85,000,000 	$176,087,450 	$288,587,450 
7/25/97	Air Force One	$85,000,000 	$172,956,409 	$315,268,353 
4/3/09	Fast & Furious	$85,000,000 	$155,064,265 	$363,064,265 
3/14/08	Horton Hears a Who	$85,000,000 	$154,529,439 	$297,133,947 
9/28/12	Hotel Transylvania	$85,000,000 	$148,313,048 	$359,222,014 
11/21/07	Enchanted	$85,000,000 	$127,706,877 	$340,384,141 
7/20/07	I Now Pronounce You Chuck and Larry	$85,000,000 	$119,725,280 	$185,708,462 
6/8/07	Ocean's Thirteen	$85,000,000 	$117,144,465 	$311,744,465 
12/25/09	It's Complicated	$85,000,000 	$112,735,375 	$224,614,744 
11/20/98	Enemy of the State	$85,000,000 	$111,549,836 	$250,649,836 
9/29/06	Open Season	$85,000,000 	$85,105,259 	$189,901,703 
11/4/11	Tower Heist	$85,000,000 	$78,046,570 	$153,470,352 
11/22/00	102 Dalmatians	$85,000,000 	$66,941,559 	$66,941,559 
3/30/12	Mirror Mirror	$85,000,000 	$64,935,167 	$168,611,991 
12/8/06	The Holiday	$85,000,000 	$63,280,000 	$205,190,324 
6/16/06	The Fast and the Furious: Tokyo Drift	$85,000,000 	$62,615,510 	$157,794,205 
12/9/05	Memoirs of a Geisha	$85,000,000 	$57,010,853 	$161,510,853 
3/16/01	Enemy at the Gates	$85,000,000 	$51,396,781 	$96,971,293 
6/18/93	Last Action Hero	$85,000,000 	$50,016,394 	$137,298,489 
9/26/03	The Rundown	$85,000,000 	$47,641,743 	$80,831,893 
11/23/11	Arthur Christmas	$85,000,000 	$46,462,469 	$147,624,649 
7/30/10	Cats & Dogs: The Revenge of Kitty Galore	$85,000,000 	$45,539,292 	$114,979,922 
11/13/98	Meet Joe Black	$85,000,000 	$44,650,003 	$44,650,003 
2/8/02	Collateral Damage	$85,000,000 	$40,048,332 	$78,353,508 
3/15/02	Showtime	$85,000,000 	$37,948,765 	$78,948,765 
6/30/95	Judge Dredd	$85,000,000 	$34,687,912 	$113,487,912 
3/2/07	Zodiac	$85,000,000 	$33,080,084 	$83,080,084 
8/13/10	Scott Pilgrim vs. The World	$85,000,000 	$31,611,316 	$48,089,760 
3/28/03	The Core	$85,000,000 	$31,111,260 	$74,132,631 
5/9/97	Father's Day	$85,000,000 	$28,681,080 	$35,681,080 
6/14/02	Scooby-Doo	$84,000,000 	$153,294,164 	$276,294,164 
7/28/00	Nutty Professor II: The Klumps	$84,000,000 	$123,307,945 	$166,307,945 
7/19/13	RED 2	$84,000,000 	$53,262,560 	$137,162,560 
